name,tier,ongoing,topic,fight,tpc,venue,office,desc,period
Inside Safe Job Connector Program,Tier 1,Yes,Homelessness Reduction,Care More,"$1,546,755.00",City,EWDD,"As part of the Mayor's Inside Safe Initiative, launched in December 2022, this program will fund Job Connectors across the Workforce Development System to assis...",2023–Present
Emergency Housing Vouchers,Tier 1,Yes,Homelessness Reduction,Care More,"$65,097,843.00",City,HACLA,"Authorized by the American REscue Plan (ARP), EHVs are available to unhouse individuals and those at risk of homelessness.  This program includes various suppor...",2021–2026
Section 8 Housing Choice Voucher  Program,Tier 1,Yes,Housing Costs,Build More,"$842,525,696.00",City/State,HACLA,"Provides rent subsidies in the form of housing assistance payments (HAP) to private Landlords on behalf of extremely low, very low-income individuals/families, ...",1974–Present
Rent Subsidy,Tier 1,Yes,Housing Supply,Build More,"$50,491,406.00",Federal,HACLA,"Affordable and market-rate housing (non-public housing) managed bythird-party management companies, which full-service of the day-to-day operations. This includ...",1970s–Present
Children's Savings Account (CSA) - Opportunity L.A.,Tier 1,Unknown,Workforce Development,Earn More,$0.00,Federal,CIFD,Opportunity L.A. is the largest children's savings account program in the nation and provides a free college savings account to first grade students at qualifyi...,2022–Present
Office of Wage Standards - Wage Enforcement,Tier 1,Yes,Wages,Earn More,"$3,160,625.00",City,BCA,"Administers and enforces the payment of the City's minimum wage, paid sick leave, and hotel worker minimum wage requirements to workers in Angeles.  Performs ou...",2015–Present
WorkSource Centers - WIOA Formula Grant,Tier 1,Yes,Workforce Development,Earn More,"$18,997,362.00",City,EWDD,EWDD administers Workforce Innovation Opportunity Act (WIOA) funding for a number of full-service WorkSource Centers / America’s Job Centers of California (AJCC...,2015–Present
Summer Youth Employment Program (SYEP),Tier 1,Yes,Workforce Development,Earn More,"$3,177,044.00",City,EWDD,The Summer Youth Employment Program (SYEP) has been a vital component of the Youth Workforce System for well over 30 years in the City of Los Angeles. Youth and...,1990s–Present
"Pooled Sources (formerly, Affordable Housing Managed Pipeline)",Tier 1,Yes,Housing Supply,Build More,"$70,000,000.00",Federal,LAHD,Creates affordable rental housing for low and very low income households by making long-term loans for new construction or for the rehabilitation of existing re...,2000s–Present
ULA Multifamily Affordable Housing,Tier 1,Yes,Housing Supply,Build More,"$98,155,832.00",City,LAHD,"Funding for new construction of affordable housing, intended to be leveraged with tax credits and other public funding sources. Funds will be administered thoug...",2023–Present
ULA Alternative Models: New Construction,Tier 1,Yes,Housing Supply,Build More,"$101,047,203.00",State/Federal,LAHD,Funding for new construction of permanently affordable housing and social housing models. Funds will be administered though the Homes for LA Notice of Funding A...,2023–Present
ULA Acquisition & Rehabilitation: Preserving Affordability,Tier 1,Yes,Housing Supply,Build More,"$30,259,134.00",Private,LAHD,"Funding for preservation of existing deed restricted affordable housing with expiring covenants, intended to be leveraged with tax credits and other public fund...",2023–Present
ULA Alternative Models: Preservation,Tier 1,Yes,Housing Supply,Build More,"$52,707,574.00",City,LAHD,Funding for preservation of existing deed restricted affordable housing. Funds will be administered though the Homes for LA Notice of Funding Availability (NOFA...,2023–Present
ULA Operating Assistance,Tier 1,Yes,Housing Supply,Build More,"$34,167,728.00",City,LAHD,"Funding to provide short-term operating assistance to affordable housing in the City's portfolio, intended to help stabilize properties. Funds will be administe...",2023–Present
Low Income Purchase Assistance (LIPA) Program,Tier 1,Yes,Housing Costs,Build More,"$11,810,954.00",City,LAHD,"Helps first-time, low income homebuyers purchase homes by providing loans to cover the down payment, acquisition, and closing costs",1990–Present
Moderate Income Purchase Assistance (MIPA) Program,Tier 1,Yes,Housing Costs,Build More,"$3,401,752.00",City,LAHD,"Helps first-time, moderate- income homebuyers purchase homes in the City of Los Angeles by providing subordinate loans to cover the down payment, closing costs,...",1990–Present
ULA Homeownership Opportunities Program,Tier 1,Yes,Housing Costs,Build More,"$27,334,182.00",City,LAHD,"Helps first-time, low income homebuyers purchase homes by providing loans to cover the down payment, acquisition, and closing costs. Funding provided by United ...",2023–Present
ULA Income Support Program (ULA ISP),Tier 1,Yes,Renter's Issues,Protect More Rights,"$57,335,456.00",City/Federal,LAHD,"To stabilize our most vulnerable Angelenos, the ULA ISP aims to alleviate financial stress and promote housing stability by providing income support to eligible...",2025–Present
ULA Short-Term Emergency Rental Assistance,Tier 1,Yes,Renter's Issues,Protect More Rights,"$3,767,728.00",City/Federal,LAHD,"United to House Los Angeles (ULA) provides dedicated funding for short-term emergency rental assistance for qualifying lower income households. For FY 25-26, ap...",2023–Present
Summer Lunch Program,Tier 1,Yes,Holistic Support,Care More,"$572,277.00",City,RAP,"Free, nutritionally-balanced lunches for our young people, ages 1-18 at 100 recreation centers throughout the City.",1968–Present
Lifeline Reimbursement Program,Tier 1,Yes,Utilities,Save More,"$41,550,000.00",City,Sanitation,"The Lifeline Reimbursement Program in Los Angeles provides financial assistance for low-income senior and disabled residents, helping them with their utility bi...",1990s–Present
UBM Mobility Wallet Pilot Program,Tier 1,No,Utilities,Save More,"$2,130,000.00",State,DOT,The MW program enables residents to pay for various transportation options using a prepaid debit card. MW removes barriers to transportation access by providing...,2023–Present
We Are LA,Tier 1,Yes,Renter's Issues,Protect More Rights,$0.00,City,Mayor's Fund,"We Are LA is a tenant protection initiative providing resources, legal assistance, and outreach to renters in Los Angeles to prevent displacement and protect ho...",2023–Present
Increased Access to Section 8 Housing,Tier 1,Yes,Housing Costs,Build More,$0.00,City,Mayor Bass,Initiative to expand the number of Angelenos receiving Section 8 Housing Choice Vouchers by increasing the City's allocation from HUD and streamlining the appli...,2022–Present
HACLA Project Labor Agreement,Tier 1,Yes,Wages,Earn More,,Federal,HACLA,"Mayor Bass secured a Project Labor Agreement covering all HACLA construction projects, guaranteeing union wages, local hire provisions, and apprenticeship oppor...",2023–Present
Executive Directive 3  -  Emergency Use of City-Owned Property,Tier 1,Yes,Housing Supply,Build More,,City,Mayor's Office,"Issued February 2023, revised twice. Maximizes underutilized city-owned land  -  expanded to include LACCD and LAUSD properties  -  for temporary and permanent hous...",2023–Present
Executive Directive 7  -  Streamlining Mixed-Income Housing,Tier 1,Yes,Housing Supply,Build More,,City,Mayor's Office,"Issued November 2023. Reduces permitting timelines 25–30% for mixed-income housing projects with 20%+ affordable units, extending the ED1 framework beyond 100% ...",2023–Present
Executive Directive 12  -  Immigration Enforcement Protections,Tier 1,Yes,Holistic Support,Care More,,City,Mayor's Office,"Signed July 2025. Requires all city departments to train staff on immigration enforcement response, establishes an LAPD working group for immigration enforcemen...",2025–Present
Executive Directive 16  -  GAMES FOR ALL (LA28 Workforce),Tier 1,Yes,Workforce Development,Earn More,,City,Mayor's Office,"Signed October 2025. Comprehensive Olympic workforce and community benefit plan covering local hire, small business opportunity, youth sports access, apprentice...",2025–Present
LA4LA  -  Public-Private Housing Partnership,Tier 1,Yes,Housing Supply,Build More,,City,Mayor's Office,"Launched 2024. Public-private initiative unlocking philanthropic and private capital for innovative housing solutions. Partners include Hilton Foundation, Calif...",2024–Present
Mayfair Hotel Conversion,Tier 1,Yes,Homelessness Reduction,Care More,,City/Private,Mayor's Office,City-purchased former hotel on Skid Row converted to 294 units of permanent interim housing with on-site medical clinic and supportive services. First piece of ...,2024–Present
Homes for LA NOFA,Tier 1,Yes,Housing Supply,Build More,"$394,000,000.00",City,LAHD,LAHD's largest-ever affordable housing funding solicitation at $394M+ across seven programs. Round 1 closed October 2025; Round 2 planned Spring 2026. Supports ...,2025–Present
Mayor's Office of Community Safety (MOCS),Tier 1,Yes,Violence Prevention,Care More,,City,Mayor's Office,"Created by Mayor Bass to consolidate community-based violence prevention, reentry, and crisis response programs under one office. Runs CIRCLE, GRYD, Summer Nigh...",2022–Present
LACAHSA / Measure A (Affordable Housing Solutions Agency),Tier 1,Yes,Housing Supply,Build More,,City,LACAHSA,"New independent regional agency created by voter-approved Measure A (November 2024, effective April 2025) generating approximately $1.1B annually through a coun...",2025–Present
Free Tax Prep Los Angeles,Tier 1,Yes,Taxes,Save More,$0.00,City/Federal,CIFD,"Free Tax Prep Los Angeles is a public-private collaboration led by the Community Investment for Families Department, in partnership with the Los Angeles County ...",2015–Present
Living Wage Enforcement,Tier 1,Yes,Wages,Earn More,"$706,142.00",City,BCA,Responsible for ensuring contractors with City and the Los Angees World Airports comply with the City's Living Wage ordinance. This includes Investigating compl...,1997–Present
Office of Wage Standards - Fair Work Week Enforcement,Tier 1,Yes,Wages,Earn More,"$947,288.00",City,BCA,"Responsible for enforcing the Fair Work Week Ordinance (FWWO) which provides workers of large retail business stable and predictable schedules, additional oppor...",2023–Present
ULA Acquisition & Rehabilitation: Small Naturally Occurring Affordable Housing,Tier 1,Yes,Housing Supply,Build More,"$38,076,321.00",City,LAHD,Funding to support acquisition and rehabilitation of small (3-20 unit) naturally occurring affordable housing (NOAH) properties by nonprofits. Program is funded...,2023–Present
Tenant Anti Harassment Ordinance (TAHO) (ULA),Tier 1,Yes,Renter's Issues,Protect More Rights,"$5,576,764.00",City,LAHD,"Activities related to implementation and enforcement of TAHO include TAHO targeted outreach and education services, and non-profit administrator to oversee lega...",2023–Present
Street Medicine Program,Tier 1,Yes,Homelessness Reduction,Care More,"$5,000,000.00",City,LAHD,Provides street-based medical services to unhoused Angelenos in high-need areas of the City,2022–Present
PlayLA Youth and Adaptive Youth Sports Program,Tier 1,Yes,Holistic Support,Care More,"$15,686,385.00",City/State,RAP,"The PlayLA program aims to provide access to quality sports programming for youth of all disabilities, ages 3-17, throughout the city. The program is structured...",2023–Present
Summer Night Lights,Tier 1,Yes,Violence Prevention,Care More,"$4,037,988.00",City,RAP,"The Summer Night Lights Program creates safe, inclusive public spaces in traditionally high-crime communities.  Local parks are transformed into neighborhood hu...",2008–Present
Comprehensive Cleaning and Rapid Engagement (CARE) program,Tier 1,Yes,Homelessness Reduction,Care More,"$39,498,885.00",City/State,Sanitation,"Addresses the impact of homeless encampments on public health, safety, and environmental quality. The primary mission of the CARE and CARE+ teams is to deliver ...",2022–Present
Know Your Rights  -  Immigration Outreach Campaign,Tier 1,Yes,Holistic Support,Care More,$0.00,City,Mayor's Office,"Citywide public information campaign on immigration enforcement rights. Includes distribution of Red Cards (rights cards) in 20+ languages, the 'I Belong, You B...",2025–Present
BIG:LEAP (Basic Income Guaranteed: LA Economic Assistance Pilot),Tier 1,No,Holistic Support,Care More,$0.00,State,CIFD,"Was the largest guaranteed income pilot in U.S. history  -  providing $1,000/month for 12 months to 3,200 randomly selected Angelenos. Payments ended March 2023. ...",2022–2023
CIRCLE Program,Tier 2,Yes,Violence Prevention,Care More,"$8,000,000.00",City,CAO,The Crisis and Incident Response through Community-led Engagement (CIRCLE) program prevents crime and violence through community-based strategies that impact th...,2022–Present
L.A. REPAIR,Tier 2,Yes,Economic Development,Earn More,"$8,500,000.00",City,CHRED,The L.A. REPAIR Participatory Budgeting pilot program dedicates $8.5 million of City funding to nine underserved communities to decide how it should be spent on...,2023–Present
Public Housing,Tier 2,Yes,Housing Costs,Build More,"$18,611,026.00",City,HACLA,Offers government subsidies to keep rents low for low-income residents,1937–Present
Continuum of Care,Tier 2,Yes,Housing Costs,Build More,"$67,747,734.00",City/Federal,HACLA,"Links rental assistance with supportive services for homeless persons with disabilities, such as mental health or substance abuse.  Rental assistance can be pro...",2000–Present
Senior Services,Tier 2,Yes,Senior Services,Care More,"$5,332,879.00",Federal,Aging,"This program provides for oversight of nutrition, social services, and special programs for older adults funded through federal and state grants and designated ...",1965–Present
Social Equity Program (SEP),Tier 2,Yes,Small Business,Earn More,"$3,500,000.00",Federal,Cannabis,To enable those adversely affected by the War on Drugs to have equitable access to business ownership and employment opportunities within the emerging legalized...,2022–Present
Reparations Advisory Commission,Tier 2,Yes,Social Justice,Care More,$0.00,City,CHRED,"The Reparations Advisory Commission was established in 2021 as a Blue-Ribbon Task Force. The Commission is composed of local leading voices in activism, academi...",2021–Present
Small Business Tax Exemption,Tier 2,Yes,Taxes,Save More,$0.00,Federal,Finance,"A small business with $100,000 or less of taxable and nontaxable gross receipts generated within and/or outside the City, may qualify for a Small Business Exemp...",2015–Present
The Utility User's Tax Exemption / Electric & Water Lifeline Rate Application Program,Tier 2,Yes,Utilities,Save More,$0.00,City/Private,Finance,Offers discounts on utility bills (electric and water) for eligible senior citizens and individuals with disabilities.,1984–Present
Stay Housed LA / Right to Counsel (Permanent),Tier 2,Unknown,Veterans,Protect More Rights,"$2,000,000.00",City/Federal,CIFD,"On April 1, 2025, the Los Angeles City Council unanimously codified Stay Housed LA as a permanent Right to Counsel Program  -  guaranteeing free legal representat...",2022–Present
"Youth at Work (Consolidated - CalWork, OUY, Foster, SIY)",Tier 2,Yes,Workforce Development,Earn More,"$8,188,629.00",City,EWDD,"Other Underserved Youth (OUY) are youth 14-24 years old who identify themselves as Lesbian, Gay, Bisexual, Transgender or Queer and/or Questioning (LGBTQ+). OUY...",2000s–Present
Affordable and Accessible Housing Registry,Tier 2,Yes,Housing Supply,Build More,"$2,364,000.00",City,LAHD,Database where individuals can search for accessible and affordable housing in the City of Los Angeles.,2019–Present
Handyworker Program,Tier 2,Yes,Housing Costs,Build More,"$920,402.00",City,LAHD,Partners with licensed general contractors for minor home repairs and accessibility improvements at no cost to eligible homeowners. Handyworker’s goal is to hel...,1994–Present
Mortgage Credit Certificate (MCC),Tier 2,Yes,Housing Costs,Build More,$0.00,City,LAHD,"Provides eligible, first-time homebuyers with a federal income tax credit based on 20% of the annual interest paid on a mortgage. The tax credit is a dollar-for...",1986–Present
Child Care Program,Tier 2,Yes,Holistic Support,Care More,"$1,443,000.00",Federal,RAP,"The goal of the State Licensed Child Care Program is to provide a safe, caring, and academically challenging environment in which children may develop their sel...",1970s–Present
CIty Pathways for Child Care,Tier 2,Yes,Holistic Support,Care More,$0.00,City,RAP,City Pathways to Childcare is a grant-funded internship program administered by the Department of Recreation and Parks. It offers college students and young adu...,2022–Present
Cityride,Tier 2,Yes,Senior Services,Care More,"$11,098,191.00",Federal,DOT,Cityride is a transportation assistance program for individuals aged 65 or older and qualified persons with disabilities residing in the City of Los Angeles and...,1980s–Present
EZ-SAVE Program,Tier 2,Yes,Utilities,Save More,"$600,000.00",City/State,DWP,The program assists income-qualified customers save on their LADWP bills based on household income requirements,2000s–Present
Low Income Home Energy Assistance Program (LIHEAP),Tier 2,Yes,Utilities,Save More,$0.00,City,DWP,The program assists eligible income-qualified households to manage and meet their immediate home heating and/or cooling needs. The program offers a benefit of u...,1981–Present
Earn Learn Play Initiative,Tier 2,No,Workforce Development,Earn More,$0.00,City/County,YDD,"Location-based app that connects youth, caregivers, and families to thousands of free and low-cost recreational, educational, employment-related, and other yout...",2022–Present
LA Youth Expo,Tier 2,No,Workforce Development,Earn More,$0.00,City/State,YDD,"Large-scale resource fair offering access to community programs, workforce development services, mental health support, youth leadership development, and other ...",2019–Present
Expanding Section 8 to veterans without Means testing,Tier 2,Yes,Veterans,Care More,$0.00,City/State,Mayor Bass,"Policy initiative to remove means-testing barriers for veterans seeking Section 8 Housing Choice Vouchers, ensuring that all veterans experiencing housing insta...",2022–Present
Getting Landlords to accept Section 8,Tier 2,Yes,Housing Costs,Build More,$0.00,City,Mayor Bass,"City outreach, incentive, and education program to encourage private landlords to accept tenants using Section 8 Housing Choice Vouchers, addressing the challen...",2022–Present
Ensuring Veterans are eligable for housing with disability payments,Tier 2,Yes,Veterans,Care More,$0.00,City/Private,Mayor Bass,"Policy effort to ensure that veterans receiving VA disability compensation are not disqualified from housing assistance programs due to their disability income,...",2022–Present
Home LA Pilot Program,Tier 2,Yes,Housing Supply,Build More,$0.00,Federal,DWP,"Pilot program designed to expand affordable homeownership opportunities for low- and moderate-income households by providing down payment assistance, counseling...",2025–Present
Film Industry Project Labor Agreement,Tier 2,Yes,Wages,Earn More,$0.00,City,Mayor's Office,"Mayor Bass negotiated a Project Labor Agreement with the LA County Building and Construction Trades Council covering construction at film studio facilities, sup...",2023–Present
Survivor Services Program,Tier 2,Yes,Homelessness Prevention,Care More,"$16,065,909.00",City,CIFD,"The Survivor Services Program (SSP) is a critical component of CIFD’s strategy to prevent homelessness, providing life-saving support to survivors of domestic v...",2000s–Present
Office of Immigrant Inclusion and Language Access,Tier 2,Yes,Holistic Support,Care More,"$1,000,000.00",City,CIFD,"The Office of Immigrant Inclusion and Language Access (1) oversees RepresentLA (formerly the L.A. Justice Fund), which provides detained and non-detained remova...",2014–Present
Senior Cityride Program,Tier 2,Yes,Senior Services,Care More,"$3,708,000.00",City/Federal,Aging,Transportation assistance program for individuals aged 65 or older residing in the City of Los Angeles and select areas of Los Angeles County,1980s–Present
Homeless Engagement Response Team (HEART),Tier 2,Yes,Homelessness Reduction,Care More,"$67,343,482.00",City,City Attorney,A criminal record clearing program for people who are either experiencing homelessness or are at risk of experiencing homelessness,2022–Present
YouthSource Centers - WIOA Formula Grant,Tier 2,Yes,Workforce Development,Earn More,"$11,550,000.00",City,EWDD,EWDD administers Workforce Innovation Opportunity Act (WIOA) funding for 14 YouthSource Centers with a focus on high school dropout recovery. All centers offer ...,2015–Present
Day Laborer Program,Tier 2,Yes,Workforce Development,Earn More,"$1,081,900.00",City/Federal,EWDD,"The Day Labor Resource Center Program provides an immigrant integration model, creates educational opportunities to transition day laborers away from temporary ...",1990s–Present
HOPWA,Tier 2,Yes,Holistic Support,Care More,"$5,732,506.00",Federal,HACLA,"Provides comprehensive strategies to meet the housing and other needs of persons with HIV/AIDS and their families.  After 18 months, eligible participants can t...",1992–Present
Public Housing Capital Fund,Tier 2,Yes,Housing Supply,Build More,"$24,883,714.00",Federal,HACLA,Provides funding for infrastructure and capital improvements to maintain public housing developments.,1937–Present
Project-Based Contract Administration,Tier 2,Yes,Housing Costs,Build More,"$1,108,717,551.00",Federal,HACLA,"Through a contract with HUD, project-based rental assistance are administered by LA LOMOD, a HACLA affiliated non-profit.",1970s–Present
Land Development Unit,Tier 2,Yes,Housing Supply,Build More,"$2,250,000.00",Federal,LAHD,Makes land assets available for affordable housing development through a Request for Qualifications/Proposals (RFQ/P) to select qualified developers to develop ...,2019–Present
Supportive Housing Development Loans,Tier 2,Yes,Homelessness Reduction,Care More,"$1,200,000,000.00",City,LAHD,Prop HHH is to create new supportive housing for individuals and families who are homeless in the City of Los Angeles.,2016–Present
ULA Tenant Outreach and Education,Tier 2,Yes,Renter's Issues,Protect More Rights,"$7,817,188.00",City,LAHD,"Outreach and education activities are funded by United to House Los Angeles (ULA) to educate tenants about their rights, available resources, and homelessness p...",2023–Present
Los Angeles Homeless Services Authority (LAHSA),Tier 2,Yes,Homelessness Reduction,Care More,"$303,616,132.00",City,LAHD,"The City provides pass-through funding from various sources (local, state, federal) to LAHSA towards homeless interventions in support of the City’s Comprehensi...",1993–Present
Tenant Relocation Assistance Services,Tier 2,Yes,Renter's Issues,Protect More Rights,"$3,000,000.00",City/County/State/Federal,LAHD,Funding for the City's relocation services provider (Interwest) tasked to ensure that tenants receive the full legal amount of relocation assistance due under t...,1990s–Present
Priority Housing Program (PHP),Tier 2,Yes,Housing Supply,Build More,$0.00,City,LACP,"Supports affordable housing projects by providing priority case processing during the planning entitlement process. To qualify for the PHP program, projects mus...",2018–Present
Clean L.A. Jobs Program,Tier 2,Yes,Workforce Development,Earn More,"$3,227,036.00",City,Public Works,Clean LA is a one-year employment program for job-seeking Angelenos as a pathway to a full-time career. Participants in the CleanLA program conduct cleaning ser...,2022–Present
LA River Rangers,Tier 2,Yes,Workforce Development,Earn More,"$1,840,000.00",City/State,Public Works,"L.A. River Rangers provides a 12-month, full-time work opportunity to young Angelenos (ages 18 - 26) with an interest in cleaning, beautifying, and maintaining ...",2022–Present
Workforce Investment & Opportunities Act (WIOA),Tier 2,Yes,Workforce Development,Earn More,"$1,551,604.00",State/Federal,,Provides various job development services for Adults and Dislocated workers.,2015–Present
Fast Track Loan Solutions Program,Tier 2,Yes,Housing Supply,Build More,"$17,500,000.00",Federal,LAHD,"Supplemental loans for affordable housing projects stalled in construction due to funding gaps. 2025 NOFA released $17.5M. Since inception, 19 projects approved...",2021–Present
Rent Escrow Account Program (REAP),Tier 2,Yes,Renter's Issues,Protect More Rights,$0.00,City,LAHD,Enforcement tool for residential properties with unresolved code violations. Eligible tenants receive a 10–50% rent reduction and may deposit rent into a city-m...,1988–Present
ULA Capacity-Building for Tenant Ownership,Tier 2,Yes,Renter's Issues,Protect More Rights,$0.00,City,LAHD,"The 11th ULA program, supporting tenant engagement, leadership development, organizational capacity, and resident-controlled ownership of housing. Provides gran...",2024–Present
Lead Hazard Remediation Program,Tier 2,Yes,Holistic Support,Care More,$0.00,City,LAHD,"Grants to property owners to make homes lead-safe for low-income families with children under age 6. Covers lead paint testing, abatement, and clearance in pre-...",1990s–Present
Citywide Housing Incentive Program (CHIP),Tier 2,Yes,Housing Supply,Build More,$0.00,Federal,City Planning,"Major new housing ordinance replacing the Transit-Oriented Communities (TOC) incentive program. Includes mixed-income development bonuses near transit, density ...",2024–Present
Affordable Housing Linkage Fee,Tier 2,Yes,Housing Supply,Build More,$0.00,City,City Planning,"Fee assessed on new non-residential development (commercial, industrial, hotel) to fund affordable housing production and preservation. Revenue deposited into t...",2017–Present
HUD-VASH (Veterans Affairs Supportive Housing),Tier 2,Yes,Veterans,Care More,$0.00,City,HACLA,"Partnership between HACLA and the West LA VA Medical Center providing 5,115 Housing Choice Vouchers specifically for homeless and chronically homeless veterans,...",1992–Present
HACLA Major Redevelopment Projects,Tier 2,Yes,Housing Supply,Build More,$0.00,Federal,HACLA,"HACLA is executing transformative redevelopments of aging public housing complexes: Jordan Downs in Watts ($664M+, converting 700 units to 1,569 mixed-income), ...",2010s–Present
BusinessSource Centers,Tier 2,Yes,Small Business,Earn More,$0.00,City/Federal,EWDD,"Free small business support services operated by EWDD at multiple locations citywide. Services include business plan development, access to capital and loans, t...",2005–Present
RepresentLA  -  Immigrant Legal Representation,Tier 2,Yes,Holistic Support,Care More,"$6,500,000.00",City,CIFD,"City-County partnership providing comprehensive immigration legal services including detained legal representation, merits-blind case representation, and affirm...",2020–Present
Solid Ground Homelessness Prevention Program,Tier 2,Yes,Homelessness Prevention,Care More,$0.00,City/County,CIFD,Financial assistance and intensive case management at all 19 FamilySource Centers to stabilize households on the verge of homelessness. Connects clients to rent...,2016–Present
SCSEP (Senior Community Service Employment Program),Tier 2,Yes,Senior Services,Care More,$0.00,City,Aging,Federally funded subsidized part-time employment and job training for low-income adults aged 55+. Participants work at local nonprofits and public agencies whil...,1965–Present
DART  -  Domestic Abuse Response Teams,Tier 2,Yes,Violence Prevention,Care More,$0.00,Federal,LAPD,Pairs trained civilian victim advocates with LAPD officers responding to domestic violence calls. Operates in all 21 LAPD divisions. Services include crisis int...,1998–Present
SHINE LA,Tier 2,Yes,Holistic Support,Care More,$0.00,City/Federal,Mayor's Office,"Monthly citywide community beautification initiative launched April 2025 to prepare Los Angeles for the 2026 FIFA World Cup, 2027 Super Bowl, and 2028 Olympics....",2025–Present
Mainstream Supportive Housing,Tier 3,Yes,Housing Costs,Build More,"$3,043,094.00",City,HACLA,Supports elderly and disabled families to rent affordable private housing of their choice in a non-segregated environment.,2003–Present
Community Choice Demonstration,Tier 3,Yes,Housing Costs,Build More,"$1,092,808.00",Federal,HACLA,Provides voucher assistance and mobility-related services to families with children to encourage such families to move to lower-poverty areas and to expand thei...,2022–Present
Child Care Policy and Equity,Tier 3,Yes,Housing Supply,Build More,$0.00,Federal,CIFD,The Child Care Policy and Equity unit provides access to high-quality child care opportunities for children ages birth to three with critical resources for fami...,2022–Present
Kids First Program,Tier 3,No,Marginalized Youth,Care More,$0.00,County,CIFD,The Kids First program enhances academic achievement for students who are unhoused or facing housing insecurity in the San Fernando Valley by offering essential...,2019–Present
Peace & Healing Centers,Tier 3,Yes,Economic Development,Earn More,$0.00,City,CHRED,"Provides $2 million to community-based organizations to implement culturally-informed programming that addresses social, economic, and environmental harms creat...",2023–Present
CDBG Neighborhood Improvement Projects,Tier 3,Yes,Veterans,Care More,"$3,841,403.00",City/Federal,CIFD,The CDBG Neighborhood Improvement Projects assist nonprofit agencies in implementing Neighborhood Improvement Capital Projects.,1974–Present
House Our Vets,Tier 2,Yes,Veterans,Care More,$0.00,City/Federal,Mayor Bass / HACLA,House Our Vets is Mayor Bass's operational campaign to place homeless veterans in permanent housing by expanding landlord participation in the HUD-VASH voucher ...,2025-Present
Targeted Local Hire Program,Tier 3,Yes,Workforce Development,Earn More,$0.00,Federal,EWDD,Administed by the Personnel Dept: Helps under-served and under-employed populations find an alternative pathways into City civil entry level classifications. Th...,2015–Present
Bridge to Jobs,Tier 3,Yes,Workforce Development,Earn More,$0.00,City,EWDD,Helps under-served and under-employed populations find an alternative pathways into City civil service semi-skilled classifications. There is no funding receive...,2015–Present
